order_release_gid,order_release_xid,order_release_name,order_release_type_gid,is_template,order_base_gid,source_location_gid,dest_location_gid,early_pickup_date,late_pickup_date,early_delivery_date,late_delivery_date,fixed_itinerary_gid,assigned_itinerary_gid,fixed_sell_itinerary_gid,ship_unit_origin,total_weight,total_weight_uom_code,total_weight_base,total_volume,total_volume_uom_code,total_volume_base,total_packaging_unit_count,total_item_package_count,max_length,max_length_uom_code,max_length_base,max_width,max_width_uom_code,max_width_base,max_height,max_height_uom_code,max_height_base,plan_from_location_gid,plan_to_location_gid,assigned_sell_itinerary_gid,indicator,bulk_plan_gid,best_direct_cost_buy,best_dircost_buy_currency_gid,best_direct_cost_buy_base,best_direct_cost_sell,best_dircost_sell_currency_gid,best_direct_cost_sell_base,best_direct_rateoffer_gid_buy,best_direct_rateoffer_gid_sell,buy_general_ledger_gid,sell_general_ledger_gid,total_net_weight,total_net_weight_uom_code,total_net_weight_base,total_net_volume,total_net_volume_uom_code,total_net_volume_base,sell_bulk_plan_gid,total_ship_unit_count,load_point,unload_point,pickup_is_appt,delivery_is_appt,plan_from_load_point,plan_to_unload_point,user_defined1_icon_gid,user_defined2_icon_gid,user_defined3_icon_gid,user_defined4_icon_gid,user_defined5_icon_gid,external_system_id,payment_method_code_gid,inco_term_gid,term_location_text,planning_group_gid,time_window_emphasis_gid,is_known_shipper,dim_rate_factor_gid,release_method_gid,final_inco_term,final_text_location,inspection_number,inspection_schedule_date,inspection_date,survey_lay_can_date,loc_number,loc_issue_date,loc_received_date,loc_latest_shipping_date,loc_negotiated_days,loc_amount,loc_amount_currency_gid,loc_amount_base,loc_advising_number,loc_confirming_number,src_location_override_gid,dest_location_override_gid,plan_from_loc_override_gid,plan_to_loc_override_gid,secondary_t_weight,secondary_t_weight_uom_code,secondary_t_weight_base,secondary_t_volume,secondary_t_volume_uom_code,secondary_t_volume_base,rate_service_profile_gid,servprov_gid,servprov_profile_gid,transport_mode_gid,mode_profile_gid,equipment_group_gid,equipment_group_profile_gid,rate_offering_gid,rate_geo_gid,sell_rate_offering_gid,sell_rate_geo_gid,must_ship_direct,must_ship_thru_x_dock,must_ship_thru_pool,ship_with_group,primary_leg_source_loc_gid,prim_leg_src_loc_override_gid,port_of_load_location_gid,port_of_load_loc_override_gid,port_of_dis_location_gid,port_of_dis_loc_override_gid,primary_leg_dest_loc_gid,prim_leg_dest_override_loc_gid,import_license_required,import_license_issue_date,import_license_receive_date,import_license_expiration_date,import_license_number,loc_expiration_date,is_loc_required,inspection_required,unitization_condition_name,stuff_location_gid,destuff_location_gid,customer_unitization_request,default_stowage_mode,consolidation_type_gid,move_perspective_gid,quote_gid,commercial_payment_code_gid,is_loc_stale,ult_dest_country_code3_gid,template_type,bundling_type,is_consolidate_or_equipment,duty_paid,quote_option_number,partition_gid,total_declared_value,total_declared_value_gid,total_declared_value_base,buy_itinerary_profile_gid,sell_itinerary_profile_gid,buffer_type,sell_servprov_gid,sell_servprov_profile_gid,is_ignore_location_calendar,rate_service_gid,ship_unit_width,ship_unit_width_uom_code,ship_unit_width_base,ship_unit_length,ship_unit_length_uom_code,ship_unit_length_base,ship_unit_height,ship_unit_height_uom_code,ship_unit_height_base,ship_unit_diameter,ship_unit_diameter_uom_code,ship_unit_diameter_base,transport_handling_unit_gid,on_rt_execution,is_splittable,pickup_routing_sequence_gid,dropoff_routing_sequence_gid,latest_est_delivery_date,otm_version,priority,latest_est_pickup_date,marked_for_purge,pickup_rail_carrier,delivery_rail_carrier,equipment_type_gid,domain_name,insert_user,insert_date,update_user,update_date,rail_route_code_gid,em_phone_number,leg_consolidation_group_gid,is_pre_entered_pu,routing_constraint_gid,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,attribute_currency1,attribute_currency1_gid,attribute_currency1_base,attribute_currency2,attribute_currency2_gid,attribute_currency2_base,attribute_currency3,attribute_currency3_gid,attribute_currency3_base,allocation_group_gid,earliest_est_pickup_date,job_name,load_date,attribute_date11,attribute_date12,attribute_date13,attribute_date14,attribute_date15,attribute_date16,attribute_date17,attribute_date18,attribute_date19,attribute_date20,attribute_number11,attribute_number12,attribute_number13,attribute_number14,attribute_number15,attribute_number16,attribute_number17,attribute_number18,attribute_number19,attribute_number20,early_sail_date,external_voyage_code,is_direct_voyage,is_topoff,late_sail_date,voyage_gid
RC3.0004289347-001,0004289347-001,"",RC3.INBOUND_PO,N,RC3.0004289347,RC3.0003039571,RC3.21060003,2023-07-21 23:16:19.000000,"",2023-09-11 05:01:00.000000,2023-09-12 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,1966.240000000000000,LB,1966.240000000000000,32.336000000000000,CUFT,32.336000000000000,"",1908,"","","","","","","","","","",RC3.2106,"",G,"","","","","","","","","",RC3.538098,"",1908.000000000000000,LB,1908.000000000000000,29.840000000000000,CUFT,29.840000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004289347,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-21 19:16:17.000000,RC3.ADMIN,2023-07-21 19:16:25.000000,"","","",N,"","","","","","","","","","",RC3.702433682N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004289384-001,0004289384-001,"",RC3.INBOUND_PO,N,RC3.0004289384,RC3.0001000868,RC3.4254CS03,2023-07-22 01:07:04.000000,"",2023-08-04 05:01:00.000000,2023-08-05 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,50000.016000000000000,LB,50000.016000000000000,1586.805000000000000,CUFT,1586.805000000000000,"",50000,"","","","","","","","","","",RC3.42540001,"",G,"","","","","","","","","",RC3.538098,"",50000.016000000000000,LB,50000.016000000000000,1586.805000000000000,CUFT,1586.805000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004289384,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000000000010610,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-21 20:07:03.000000,RC3.ADMIN,2023-07-21 20:07:11.000000,"","","",N,"","","","","","","","","","",RC3.702433768N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004289409-001,0004289409-001,"",RC3.INBOUND_PO,N,RC3.0004289409,RC3.0001007586,RC3.4254CS03,2023-07-22 01:13:21.000000,"",2023-08-04 05:01:00.000000,2023-08-05 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,50000.016000000000000,LB,50000.016000000000000,1586.805000000000000,CUFT,1586.805000000000000,"",50000,"","","","","","","","","","",RC3.42540001,"",G,"","","","","","","","","",RC3.538098,"",50000.016000000000000,LB,50000.016000000000000,1586.805000000000000,CUFT,1586.805000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004289409,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000000000010610,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-21 20:13:20.000000,RC3.ADMIN,2023-07-21 20:13:27.000000,"","","",N,"","","","","","","","","","",RC3.702433815N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004289543-001,0004289543-001,"",RC3.INBOUND_PO,N,RC3.0004289543,RC3.0003026987,RC3.53810001,2023-07-24 11:13:03.000000,"",2023-07-28 05:01:00.000000,2023-07-29 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,14902.328000000000000,LB,14902.328000000000000,2784.408000000000000,CUFT,2784.408000000000000,"",3816,"","","","","","","","","","",RC3.5381,"",G,"","","","","","","","","",RC3.538098,"",11192.328000000000000,LB,11192.328000000000000,2625.408000000000000,CUFT,2625.408000000000000,"",53.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004289543,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-24 04:13:02.000000,RC3.ADMIN,2023-07-24 04:13:09.000000,"","","",N,"","","","","","","","","","",RC3.702434609N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004289623-001,0004289623-001,"",RC3.INBOUND_PO,N,RC3.0004289623,RC3.0001000868,RC3.4254HFC1,2023-07-24 17:37:36.000000,"",2023-08-01 05:01:00.000000,2023-08-02 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,50000.000000000000000,LB,50000.000000000000000,1600.000000000000000,CUFT,1600.000000000000000,"",50000,"","","","","","","","","","",RC3.42540001,"",G,"","","","","","","","","",RC3.538098,"",50000.000000000000000,LB,50000.000000000000000,1600.000000000000000,CUFT,1600.000000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004289623,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000000000010610,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-24 12:37:34.000000,RC3.ADMIN,2023-07-24 12:37:41.000000,"","","",N,"","","","","","","","","","",RC3.702435184N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004289651-001,0004289651-001,"",RC3.INBOUND_PO,N,RC3.0004289651,RC3.0001007586,RC3.4254HFC1,2023-07-24 17:52:25.000000,"",2023-08-02 05:01:00.000000,2023-08-03 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,50000.000000000000000,LB,50000.000000000000000,1600.000000000000000,CUFT,1600.000000000000000,"",50000,"","","","","","","","","","",RC3.42540001,"",G,"","","","","","","","","",RC3.538098,"",50000.000000000000000,LB,50000.000000000000000,1600.000000000000000,CUFT,1600.000000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004289651,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000000000010610,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-24 12:52:23.000000,RC3.ADMIN,2023-07-24 12:52:30.000000,"","","",N,"","","","","","","","","","",RC3.702435205N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004289708-001,0004289708-001,"",RC3.INBOUND_PO,N,RC3.0004289708,RC3.0003055406,RC3.45610003,2023-07-24 17:13:03.000000,"",2023-08-23 04:01:00.000000,2023-08-24 03:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,1080.000000000000000,LB,1080.000000000000000,72.000000000000000,CUFT,72.000000000000000,"",33600,"","","","","","","","","","",RC3.4561,"",G,"","","","","","","","","",RC3.538098,"",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",24.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004289708,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000009876543210,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-24 13:13:02.000000,RC3.ADMIN,2023-07-24 13:13:09.000000,"","","",N,"","","","","","","","","","",RC3.702435254N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004289825,0004289825,"",RC3.INBOUND_STO,N,"",RC3.2169,RC3.21640003,2023-07-28 05:01:00.000000,2023-07-29 04:59:00.000000,2023-07-30 05:01:00.000000,2023-07-31 04:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",50000.000000000000000,LB,50000.000000000000000,2250.000000000000000,CUFT,2250.000000000000000,"",50000,"","","","","","","","","","",RC3.2164,"",G,RC3.INBOUND BULK PLAN-20230724160016,"","","","","","","","",RC3.538098,"",50000.000000000000000,LB,50000.000000000000000,2250.000000000000000,CUFT,2250.000000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",COL,"","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000000000010610,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2023-07-24 14:13:14.000000,RC3.ADMIN,2023-07-24 16:03:16.000000,"","","",N,"","","","","","","","","","",RC3.702436033N,CAG,"","",ORDER_CREATE_SUCCESS,BTNP,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004289929,0004289929,"",RC3.INBOUND_STO,N,"",RC3.2169,RC3.21640003,2023-08-04 05:01:00.000000,2023-08-05 04:59:00.000000,2023-08-04 05:01:00.000000,2023-08-05 04:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",50000.000000000000000,LB,50000.000000000000000,2250.000000000000000,CUFT,2250.000000000000000,"",50000,"","","","","","","","","","",RC3.2164,"",G,RC3.INBOUND BULK PLAN-20230724160016,"","","","","","","","",RC3.538098,"",50000.000000000000000,LB,50000.000000000000000,2250.000000000000000,CUFT,2250.000000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",COL,"","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000000000010610,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2023-07-24 14:58:08.000000,RC3.ADMIN,2023-07-24 16:03:16.000000,"","","",N,"","","","","","","","","","",RC3.702436028N,CAG,"","",ORDER_CREATE_SUCCESS,BTNP,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004290049,0004290049,"",RC3.INBOUND_STO,N,"",RC3.5007,RC3.50140003,2023-07-26 05:01:00.000000,2023-07-27 04:59:00.000000,2023-07-27 05:01:00.000000,2023-07-28 04:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",14284.728000000000000,LB,14284.728000000000000,23.160000000000000,CUFT,23.160000000000000,"",13750,"","","","","","","","","","",RC3.5014,"",W,"","","","","","","","","",RC3.538098,"",13750.000000000000000,LB,13750.000000000000000,0.240000000000000,CUFT,0.240000000000000,"",8.000000000000000,"","",N,N,"","",ACCEPTED,"",DELIVERED,"","","",COL,"","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","",2023-07-27 02:59:00.000000,6.0,1,"",N,"","","",RC3,RC3.SA_SI,2023-07-24 15:40:08.000000,RC3.ADMIN,2023-07-27 14:53:11.000000,"","","",N,"","","","","","","","","","",RC3.702435904N,CAG,"","",ORDER_CREATE_SUCCESS,PRIJ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004290098,0004290098,"",RC3.INBOUND_STO,N,"",RC3.2169,RC3.21640003,2023-07-26 05:01:00.000000,2023-07-27 04:59:00.000000,2023-07-26 05:01:00.000000,2023-07-27 04:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",52460.000000000000000,LB,52460.000000000000000,2360.700000000000000,CUFT,2360.700000000000000,"",52460,"","","","","","","","","","",RC3.2164,"",W,RC3.INBOUND BULK PLAN-20230724160016,"","","","","","","","",RC3.538098,"",52460.000000000000000,LB,52460.000000000000000,2360.700000000000000,CUFT,2360.700000000000000,"",1.000000000000000,"","",N,N,"","",ACCEPTED,"",DELIVERED,"","","",PPD,FOB,DESTINATION,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000000000010610,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2023-07-24 15:52:30.000000,RC3.ADMIN,2023-07-31 15:57:57.000000,"","","",N,"","","","","","","","","","",RC3.702436155N,CAG,"","",ORDER_CREATE_SUCCESS,BTNP,"","","","","",0E-15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004290204-001,0004290204-001,"",RC3.INBOUND_PO,N,RC3.0004290204,RC3.0003037260,RC3.05490003,2023-08-04 21:49:00.000000,2023-08-04 21:49:00.000000,2023-08-07 04:01:00.000000,2023-08-08 03:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"",BS,40900.000000000000000,LB,40900.000000000000000,60.531999999999990,CUFT,60.531999999999990,"",40000,"","","","","","","","","","",RC3.0549,"",G,"","","","","","","","","",RC3.538098,"",40000.000000000000000,LB,40000.000000000000000,0.532000000000000,CUFT,0.532000000000000,"",20.000000000000000,"","",N,N,"","",TENDERED,"","","","","",COL,FOB,ORIGIN,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,0004290204,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000009876543210,N,N,"","",2023-08-07 20:38:10.000000,6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-24 16:49:10.000000,RC3.ADMIN,2023-07-26 02:19:47.000000,"","","",N,"","","","","","","","","","",RC3.702439010N,CAG,"","",ORDER_CREATE_SUCCESS,NVDD,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004290210-001,0004290210-001,"",RC3.INBOUND_PO,N,RC3.0004290210,RC3.0003063164,RC3.42530003,2023-07-24 21:49:09.000000,"",2023-09-15 05:01:00.000000,2023-09-16 04:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"",BS,41688.000000000000000,LB,41688.000000000000000,73.271999999999990,CUFT,73.271999999999990,"",40608,"","","","","","","","","","","","",R,RC3.INBOUND BULK PLAN-20230905160040,"","","","","","","","",RC3.538098,"",40608.000000000000000,LB,40608.000000000000000,1.272000000000000,CUFT,1.272000000000000,"",24.000000000000000,"","",N,N,"","",TENDERED,"","","","","",COL,FOB,ORIGIN,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,0004290210,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000009876543210,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2023-07-24 16:49:08.000000,RC3.ADMIN,2023-09-05 20:05:49.000000,"","","",N,"","","","","","","","","","",RC3.702456411N,CAG,"","",ORDER_CREATE_SUCCESS,TPTA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 06:18:30.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
